Code_dot,Code_iata,City_name,Airport_name
13401.0,MN1,"Fosston, MN",Fosston Municipal Anderson Field
13402.0,MN2,"Moose Lake, MN",Moose Lake Carlton County
13403.0,MN3,"Ortonville, MN",Ortonville Municipal-Martinson Field
16469.0,MN4,"Wadena, MN",Wadena Municipal
16500.0,MN5,"Red Wing, MN",Red Wing Regional
16589.0,MN6,"Hallock, MN",Hallock Municipal
16795.0,MN7,"Minneapolis, MN",Anoka County Blaine
16993.0,MN8,"Walker, MN",Walker Municipal
13404.0,MNB,"Moanda, Congo (Kinshasa)",Muanda
13405.0,MNC,"Nacala, Mozambique",Nacala International
16841.0,MNH,"Musanaa, Oman",Rustaq
13406.0,MNI,"Montserrat, Montserrat",John A Osborne
13407.0,MNK,"Maiana, Kiribati",Maiana Airport
13408.0,MNL,"Manila, Philippines",Ninoy Aquino International
13409.0,MNM,"Marinette, MI",Menominee Regional
13410.0,MNN,"Marion, OH",Marion Municipal
13411.0,MNO,"Manono, Congo (Kinshasa)",Manono Airport
16895.0,MNQ,"Tosontsengel, Mongolia",Tosontsengel
13413.0,MNR,"Mongu, Zambia",Mongu Airport
13414.0,MNS,"Mansa, Zambia",Mansa Airport
13415.0,MNT,"Minto, AK",Minto Al Wright
13416.0,MNU,"Mawlamyine, Burma",Mawlamyine Airport
13417.0,MNX,"Manicore, Brazil",Manicore Airport
13418.0,MNZ,"Manassas, VA",Manassas Regional/Harry P. Davis Field
13419.0,MO1,"Mosby, MO",Midwest National Air Center
13420.0,MO2,"Washington, MO",Washington Regional
16775.0,MO3,"Richland, MO",Richland Municipal
16915.0,MO4,"Clinton, MO",Clinton Regional
16941.0,MO5,"Brookfield, MO",North Central Missouri Regional
13421.0,MOA,"Moa, Cuba",Orestes Acosta
13422.0,MOB,"Mobile, AL",Mobile Regional
13423.0,MOC,"Montes Claros, Brazil",Mario Ribeiro
13424.0,MOD,"Modesto, CA",Modesto City-County-Harry Sham Field
13425.0,MOG,"Mong Hsat, Burma",Mong Hsat Airport
13426.0,MOL,"Molde, Norway",Aro
13427.0,MOM,"Moudjeria, Mauritania",Moudjeria Ledfotar
13428.0,MON,"Mount Cook, New Zealand",Mount Cook Airport
13429.0,MOP,"Mount Pleasant, MI",Mount Pleasant Municipal
13430.0,MOQ,"Morondava, Madagascar",Morondava Airport
13431.0,MOR,"Morristown, TN",Moore-Murrell
13432.0,MOS,"Moses Point, AK",Moses Point Airport
